,carat,cut,color,clarity,depth percentage,table,length,width,depth,price
34723,0.5,4,0,4,61.7,57.0,5.09,5.12,3.15,875
41027,0.41,4,5,6,61.1,56.0,4.8,4.85,2.95,1187
29921,0.32,4,5,5,61.4,55.0,4.42,4.44,2.72,713
45340,0.7,3,4,2,59.5,61.0,5.78,5.68,3.41,1662
6959,1.21,0,0,3,65.0,59.0,6.64,6.57,4.29,4147
6485,1.04,4,0,3,60.8,57.0,6.54,6.59,3.99,4059
41475,0.5,3,4,3,61.7,57.0,5.09,5.06,3.13,1231
10142,1.02,4,2,3,60.0,59.0,6.56,6.55,3.93,4724
14157,1.03,3,2,5,61.2,58.0,6.52,6.55,4.0,5744
13871,1.22,4,0,5,61.5,55.0,6.86,6.87,4.22,5649
42410,0.31,4,6,8,61.1,56.0,4.42,4.39,2.69,1310
27695,0.4,4,3,2,62.1,57.0,4.72,4.75,2.94,648
45329,0.32,4,3,4,62.1,56.0,4.36,4.4,2.72,524
47785,0.6,4,5,4,61.8,56.0,5.41,5.46,3.36,1897
31961,0.23,1,6,6,61.8,65.0,3.9,3.93,2.42,452
52500,0.71,4,1,5,61.3,57.0,5.73,5.75,3.51,2525
22049,0.31,1,1,5,63.8,56.0,4.32,4.27,2.74,628
44550,0.55,4,3,3,61.9,57.0,5.23,5.27,3.25,1605
34487,0.43,3,3,4,61.2,58.0,4.84,4.9,2.98,867
32021,0.41,2,2,3,58.1,61.0,4.91,4.97,2.87,778
41726,0.41,4,5,6,60.0,57.0,4.85,4.81,2.9,1243
51286,0.72,3,4,3,59.3,59.0,5.85,5.81,3.46,2360
11343,1.01,3,1,7,62.0,59.0,6.39,6.32,3.94,4989
50166,0.54,4,4,6,61.4,56.0,5.27,5.29,3.24,2218
18092,1.23,4,2,3,62.3,58.0,6.85,6.89,4.28,7313
49289,0.51,4,4,6,62.6,57.0,5.1,5.13,3.2,2093
42829,0.59,3,3,3,59.8,58.0,5.48,5.43,3.26,1355
47435,0.71,3,0,3,61.0,61.0,5.71,5.66,3.47,1853
6675,1.01,4,0,2,61.9,55.3,6.43,6.5,4.01,4099
36508,0.35,4,6,6,61.6,54.0,4.55,4.57,2.81,945
40887,0.56,3,3,3,61.7,58.0,5.31,5.29,3.27,1176
41075,0.41,3,4,6,60.4,58.0,4.84,4.8,2.91,1192
32285,0.31,4,0,6,61.8,54.0,4.38,4.39,2.71,453
2787,0.76,4,4,4,61.0,55.0,5.89,5.92,3.6,3257
41744,0.57,2,5,2,59.7,57.0,5.4,5.48,3.25,1244
6603,1.0,1,4,2,62.7,57.0,6.29,6.34,3.96,4081
44226,0.46,2,2,7,62.0,56.0,4.96,4.98,3.07,1572
45691,0.53,4,4,5,60.7,55.0,5.32,5.25,3.21,1697
11955,1.11,3,6,2,59.9,57.0,6.74,6.72,4.03,5134
975,0.82,2,3,3,63.4,55.0,6.0,5.93,3.78,2893
31012,0.35,4,4,3,62.5,54.0,4.52,4.5,2.82,748
47270,0.5,4,6,4,61.7,56.0,5.12,5.14,3.16,1844
48964,0.36,2,3,3,61.8,60.0,4.53,4.57,2.81,537
3502,0.9,1,5,2,63.2,57.0,6.06,6.15,3.86,3401
53254,0.78,3,1,4,62.7,58.0,5.89,5.82,3.68,2646
12794,0.9,4,3,6,61.9,56.0,6.15,6.22,3.83,5335
3558,0.72,4,2,6,61.7,55.0,5.77,5.8,3.57,3417
33985,0.42,4,3,4,62.2,56.0,4.8,4.82,2.99,847
47696,0.52,4,5,5,60.0,56.0,5.25,5.29,3.16,1883
39241,0.42,4,2,7,62.4,55.0,4.79,4.8,2.99,1068
51999,0.83,2,0,4,60.5,55.0,6.08,6.11,3.69,2444
31396,0.47,2,0,3,62.4,58.0,4.94,4.99,3.1,764
11146,1.03,3,4,3,62.2,59.0,6.45,6.41,4.0,4942
16083,1.29,4,2,3,62.6,56.0,6.96,6.93,4.35,6424
30964,0.37,4,4,3,61.6,56.0,4.61,4.65,2.85,746
29928,0.43,3,5,1,58.4,62.0,5.0,4.94,2.9,713
6409,0.77,4,6,5,62.2,55.0,5.85,5.88,3.65,4039
13324,1.02,2,4,3,59.8,58.0,6.49,6.55,3.9,5500
41730,0.41,4,5,6,61.0,56.0,4.82,4.79,2.93,1243
30483,0.31,4,6,3,61.0,57.0,4.41,4.38,2.68,732
21043,0.31,3,2,6,61.4,58.0,4.32,4.35,2.66,625
36968,0.41,3,3,5,62.6,58.0,4.75,4.7,2.96,961
40978,0.41,4,6,6,62.5,57.0,4.75,4.72,2.96,1181
37565,0.31,4,3,8,62.7,57.0,4.34,4.31,2.71,988
15070,1.02,3,3,4,62.7,58.0,6.4,6.45,4.03,6058
37768,0.41,4,5,4,62.1,57.0,4.79,4.74,2.96,999
43426,0.53,2,5,3,59.7,59.0,5.27,5.29,3.15,1415
5426,1.03,3,3,2,63.0,60.0,6.39,6.35,4.01,3824
30347,0.33,4,6,5,61.1,57.0,4.46,4.48,2.73,727
8857,1.0,3,3,2,62.2,59.0,6.39,6.35,3.96,4480
53868,0.75,3,4,3,61.1,59.0,5.86,5.79,3.56,2744
30975,0.37,3,4,4,60.6,58.0,4.63,4.67,2.82,746
16997,1.01,2,4,4,63.1,58.0,6.4,6.35,4.02,6787
43662,0.5,2,6,3,61.0,61.0,5.08,5.11,3.11,1436
42901,0.59,1,4,3,59.1,58.0,5.46,5.5,3.24,1361
2145,0.93,3,0,4,61.1,59.0,6.34,6.32,3.87,3125
27915,0.26,4,4,8,61.6,56.0,4.07,4.11,2.52,657
44547,0.54,4,3,4,61.7,56.0,5.21,5.24,3.23,1605
42992,0.39,4,4,8,61.9,57.0,4.68,4.69,2.9,1368
16332,1.01,3,4,4,59.3,62.0,6.48,6.44,3.83,6533
49567,0.62,1,4,6,59.9,62.0,5.51,5.53,3.3,2131
47817,0.58,4,5,4,61.8,57.0,5.32,5.36,3.3,1903
53531,0.71,4,6,2,61.6,56.0,5.78,5.82,3.57,2690
6433,1.02,0,3,3,64.5,56.0,6.3,6.23,4.04,4044
30897,0.41,4,6,3,61.9,55.0,4.77,4.8,2.96,744
53753,0.72,3,4,4,62.1,57.0,5.73,5.71,3.55,2724
43109,0.6,4,5,2,62.5,57.0,5.37,5.39,3.36,1385
7723,0.26,3,5,4,60.4,58.0,4.19,4.15,2.52,580
6041,0.32,4,2,3,60.6,57.0,4.44,4.4,2.68,576
53695,0.75,1,5,4,59.7,65.0,5.85,5.8,3.48,2717
43395,0.5,4,5,3,61.6,55.0,5.09,5.13,3.15,1410
39037,0.37,4,3,8,61.2,56.0,4.65,4.67,2.85,1056
6025,1.0,0,3,3,65.2,62.0,6.19,6.08,4.01,3965
39236,0.33,4,4,6,62.4,56.0,4.43,4.41,2.76,1067
52453,0.7,4,4,3,62.3,56.0,5.68,5.72,3.55,2515
38494,0.42,4,3,6,62.4,55.0,4.79,4.82,3.0,1031
52490,0.75,4,2,3,62.9,57.0,5.75,5.8,3.63,2523
48446,0.51,2,3,6,63.1,58.0,5.11,5.07,3.21,1974
33118,0.31,4,3,7,62.5,55.0,4.33,4.34,2.71,816
16590,1.2,3,2,5,61.3,58.0,6.85,6.81,4.19,6626
43614,0.34,3,6,2,60.6,60.0,4.48,4.53,2.73,507
53653,0.72,4,4,3,61.7,59.0,5.75,5.79,3.56,2706
5407,1.0,0,2,4,64.8,55.0,6.35,6.28,4.09,3819
30751,0.31,0,4,7,63.1,61.0,4.32,4.37,2.74,740
39117,0.41,3,3,4,59.2,58.0,4.83,4.8,2.85,1061
42625,0.36,4,2,3,62.3,57.0,4.54,4.58,2.84,505
8671,1.04,4,3,2,60.7,57.0,6.61,6.51,3.98,4455
17831,1.0,1,5,5,60.0,65.0,6.48,6.43,3.87,7190
12851,1.34,4,0,2,62.0,56.0,7.09,7.03,4.38,5358
17484,1.52,1,0,3,63.6,60.0,7.25,7.21,4.6,7022
9066,1.02,1,2,2,60.3,63.0,6.45,6.49,3.9,4517
7286,1.07,2,3,2,58.5,61.0,6.59,6.71,3.89,4201
41196,0.51,2,4,3,62.5,59.0,5.08,5.1,3.18,1203
1743,0.73,4,5,3,62.2,56.0,5.76,5.79,3.59,3038
17635,1.03,2,6,4,63.3,57.0,6.39,6.44,4.06,7102
30400,0.32,3,2,7,61.4,58.0,4.37,4.42,2.7,730
15801,1.22,2,2,3,62.4,57.0,6.78,6.82,4.24,6323
1951,0.75,4,5,5,61.8,55.0,5.85,5.87,3.62,3086
42822,0.52,4,3,3,60.4,57.0,5.23,5.27,3.17,1354
4052,0.35,4,2,4,61.7,56.0,4.55,4.59,2.82,571
6758,0.91,2,3,4,64.0,56.6,6.09,6.15,3.92,4105
37332,0.43,4,5,4,62.1,56.0,4.83,4.87,3.01,981
37093,0.41,4,5,3,62.9,57.0,4.76,4.72,2.98,969
30261,0.4,4,2,4,61.4,55.0,4.76,4.78,2.93,725
39385,0.47,0,5,4,56.3,64.0,5.19,5.14,2.91,1075
5815,0.73,4,3,7,61.6,56.0,5.76,5.79,3.56,3913
33535,0.35,3,6,4,62.0,58.0,4.54,4.56,2.82,829
16566,1.01,3,3,5,62.6,59.0,6.43,6.38,4.01,6618
14845,0.9,4,3,7,62.8,56.0,6.12,6.18,3.86,5978
4447,0.7,4,6,5,62.8,53.4,5.64,5.68,3.55,3618
32044,0.31,4,4,7,60.4,59.0,4.35,4.43,2.65,779
40587,0.41,4,5,5,61.4,57.0,4.82,4.79,2.95,1153
13499,0.7,4,6,6,61.1,55.0,5.75,5.78,3.52,5539
3262,1.02,2,0,2,63.1,58.0,6.38,6.34,4.01,3359
44084,0.6,2,3,3,61.1,57.0,5.36,5.47,3.31,1554
3106,0.86,3,5,3,61.9,61.0,6.07,5.99,3.73,3323
1947,1.02,0,1,2,64.5,56.0,6.28,6.25,4.04,3084
36663,0.41,4,3,4,60.9,56.0,4.82,4.84,2.94,949
49418,0.65,4,2,5,61.8,55.0,5.6,5.56,3.45,2106
8547,1.01,2,2,3,61.9,57.0,6.36,6.41,3.95,4432
46696,0.5,0,3,6,62.9,67.0,5.02,4.96,3.14,1791
2205,1.02,2,5,1,60.6,63.0,6.46,6.52,3.93,3141
31835,0.34,2,3,6,61.4,59.0,4.47,4.52,2.76,775
27837,0.36,4,2,5,61.5,55.0,4.59,4.62,2.83,651
27855,0.3,4,4,5,61.6,54.7,4.33,4.34,2.67,652
1453,0.54,4,4,7,61.6,55.0,5.28,5.27,3.25,2977
48052,0.61,4,6,3,62.0,55.0,5.44,5.47,3.38,1927
10375,1.0,2,5,2,61.2,58.0,6.37,6.41,3.91,4777
53899,0.72,4,2,6,62.3,56.0,5.74,5.81,3.6,2752
51244,0.71,1,2,3,57.9,62.0,5.82,5.86,3.38,2354
49886,0.53,4,4,6,62.0,57.0,5.17,5.2,3.21,2177
5951,1.01,1,3,2,61.1,62.0,6.38,6.48,3.93,3948
3822,0.7,3,6,5,62.5,60.0,5.62,5.67,3.53,3471
46425,0.53,1,3,6,64.3,58.0,5.11,5.15,3.3,1769
6265,0.87,4,6,2,61.4,54.0,6.15,6.2,3.79,4012
52162,0.55,4,3,7,61.5,55.0,5.28,5.26,3.24,2473
16224,1.05,2,3,4,62.8,57.0,6.45,6.49,4.06,6486
5897,0.9,4,3,3,62.2,56.0,6.2,6.14,3.84,3931
37469,0.42,4,3,5,61.8,57.0,4.82,4.79,2.97,984
38328,0.32,3,5,7,60.5,58.0,4.47,4.42,2.69,1020
45654,0.25,3,5,4,59.7,61.0,4.1,4.08,2.44,525
46283,0.55,3,4,5,61.0,59.0,5.26,5.29,3.22,1755
13873,1.14,3,3,3,62.3,59.0,6.69,6.66,4.16,5650
2925,1.01,2,3,1,62.4,59.0,6.35,6.41,3.98,3288
32527,0.35,3,2,7,60.6,60.0,4.51,4.57,2.75,798
47879,0.58,4,3,5,61.5,55.0,5.36,5.41,3.31,1911
35869,0.32,2,3,8,62.1,53.0,4.4,4.45,2.75,918
33653,0.39,3,5,2,63.0,61.0,4.65,4.62,2.92,834
909,0.79,2,6,2,59.7,58.0,6.0,6.07,3.6,2878
29477,0.32,4,4,5,61.3,56.0,4.4,4.44,2.71,702
46910,0.56,0,4,4,57.0,67.0,5.49,5.36,3.09,1814
7762,1.03,2,2,2,62.8,59.0,6.4,6.43,4.03,4283
53378,0.71,4,1,3,61.3,56.0,5.72,5.75,3.52,2660
28271,0.32,1,6,1,64.0,54.0,4.33,4.36,2.78,361
6387,0.25,4,5,6,61.6,57.0,4.08,4.1,2.52,576
11859,1.04,4,1,4,61.5,57.0,6.49,6.52,4.0,5105
17167,1.01,4,3,4,61.0,56.0,6.46,6.49,3.95,6855
53630,0.3,2,6,3,60.6,60.0,4.3,4.32,2.61,552
39256,0.38,4,5,5,62.7,55.0,4.65,4.6,2.9,1069
11078,0.9,4,2,6,62.0,57.0,6.15,6.2,3.83,4924
1434,0.7,1,5,5,59.8,62.0,5.74,5.8,3.45,2973
8897,1.01,1,2,4,64.3,58.0,6.27,6.2,4.01,4489
49648,0.3,3,2,3,62.9,58.0,4.24,4.22,2.66,540
53901,0.57,3,5,5,61.6,58.0,5.36,5.33,3.29,2753
35866,0.41,1,2,4,64.1,57.0,4.72,4.64,3.0,917
44510,0.52,2,4,4,60.7,59.0,5.14,5.18,3.13,1600
35722,0.3,4,6,4,61.8,55.0,4.34,4.3,2.67,911
39735,0.38,4,6,5,62.4,54.1,4.62,4.67,2.9,1092
7812,1.13,3,2,2,62.3,59.0,6.68,6.65,4.15,4294
27694,0.41,4,0,5,61.3,57.0,4.81,4.84,2.96,648
41308,0.57,3,1,5,61.6,58.0,5.33,5.28,3.27,1212
24030,0.35,4,3,4,61.0,57.0,4.54,4.57,2.78,633
48853,0.82,1,0,3,57.5,62.0,6.2,6.25,3.58,2033
41464,0.41,4,3,7,62.0,56.0,4.8,4.78,2.97,1230
52655,0.72,4,3,3,61.9,54.0,5.78,5.81,3.59,2548
37307,0.31,4,4,8,61.8,54.0,4.33,4.37,2.69,979
13504,1.01,4,6,3,61.2,57.0,6.47,6.44,3.95,5543
15668,1.0,2,5,4,64.0,59.0,6.22,6.31,4.01,6285
34661,0.31,4,5,4,62.0,55.0,4.35,4.33,2.69,872
31352,0.42,4,2,3,60.9,56.0,4.89,4.86,2.97,760
28530,0.39,4,3,3,61.0,55.0,4.75,4.82,2.92,675
16889,1.2,4,3,3,62.2,58.0,6.77,6.84,4.23,6741
10526,1.0,1,3,5,63.7,60.0,6.38,6.31,4.04,4805
32078,0.33,4,6,4,61.8,56.0,4.45,4.48,2.76,781
3613,0.77,1,6,4,64.3,56.0,5.84,5.77,3.73,3428
13942,1.3,3,2,3,62.9,60.0,6.95,6.88,4.35,5671
53019,0.76,2,2,4,58.7,61.0,5.96,5.99,3.51,2599
18408,1.03,4,3,5,61.4,55.0,6.5,6.53,4.0,7481
38199,0.5,4,4,2,61.6,57.0,5.14,5.08,3.15,1016
52305,0.25,1,6,6,57.5,61.0,4.16,4.19,2.4,548
32814,0.34,4,5,5,62.0,56.0,4.48,4.52,2.79,805
16942,1.04,2,3,7,58.2,60.0,6.66,6.71,3.89,6766
6020,1.0,0,3,3,68.3,61.0,6.02,5.93,4.08,3965
48966,0.34,4,2,4,62.2,56.0,4.48,4.53,2.8,537
1730,0.32,3,2,5,61.7,58.0,4.38,4.44,2.72,561
40866,0.55,4,4,2,62.3,57.0,5.22,5.27,3.27,1175
12276,1.2,2,2,2,58.8,61.0,6.94,6.98,4.09,5211
45599,0.58,4,3,3,61.5,56.0,5.35,5.38,3.3,1690
4265,0.78,4,2,6,62.1,56.0,5.88,5.9,3.66,3581
49752,0.56,4,2,8,61.3,55.0,5.31,5.33,3.26,2157
38562,0.52,4,2,2,61.5,56.0,5.17,5.21,3.19,1035
1035,0.53,4,6,7,62.5,54.0,5.16,5.21,3.24,2905
15289,1.66,4,4,1,62.1,58.0,7.6,7.56,4.71,6135
33820,0.32,4,3,7,60.2,56.0,4.45,4.49,2.69,842
49868,0.7,2,3,3,62.1,56.0,5.64,5.67,3.51,2175
12637,1.0,4,4,3,61.9,56.0,6.41,6.36,3.95,5292
5467,0.77,4,6,4,61.1,57.0,5.93,5.96,3.63,3837
32406,0.37,4,4,3,62.4,54.0,4.63,4.6,2.88,791
50854,0.7,2,4,3,61.3,58.0,5.7,5.72,3.5,2312
49147,0.72,1,1,4,63.3,59.0,5.62,5.66,3.57,2068
14799,1.2,2,1,4,62.3,56.0,6.76,6.81,4.23,5955
31549,0.3,4,5,6,62.3,56.0,4.3,4.34,2.69,766
36713,0.42,4,5,3,62.1,55.0,4.81,4.79,2.98,953
46808,0.77,2,0,3,62.3,58.0,5.86,5.89,3.66,1807
17072,1.03,2,3,4,58.8,63.0,6.7,6.61,3.91,6806
13386,0.39,0,5,3,65.6,60.0,4.5,4.56,2.97,601
5994,1.11,2,1,2,61.2,61.0,6.65,6.69,4.08,3956
11023,1.33,0,5,2,65.0,57.0,6.93,6.89,4.49,4916
52758,0.72,2,5,3,62.0,57.0,5.73,5.76,3.56,2562
34176,0.33,3,3,5,62.3,58.0,4.45,4.41,2.76,854
34319,0.35,2,3,7,61.8,57.0,4.5,4.53,2.79,859
10115,1.02,3,3,3,63.0,55.0,6.45,6.4,4.05,4718
9322,0.9,4,6,3,62.5,57.0,6.12,6.2,3.85,4579
3424,0.7,4,3,5,61.9,55.0,5.67,5.71,3.52,3384
50534,0.54,4,3,5,60.7,57.0,5.29,5.26,3.2,2274
31443,0.34,4,3,4,62.1,57.0,4.5,4.46,2.78,765
15258,1.53,3,0,3,60.1,59.0,7.52,7.5,4.51,6126
8372,0.31,4,4,4,60.8,57.0,4.38,4.41,2.67,583
49014,0.5,4,4,6,62.0,55.0,5.1,5.12,3.17,2052
52538,1.0,0,2,2,67.8,53.0,6.08,6.02,4.1,2530
34802,0.31,4,6,5,62.1,57.0,4.35,4.32,2.69,877
53284,0.3,3,6,3,62.4,60.0,4.23,4.26,2.65,552
11083,1.0,0,4,3,62.6,59.0,6.25,6.3,3.93,4925
45465,0.53,4,5,4,61.5,56.0,5.18,5.23,3.2,1676
2419,0.91,0,2,3,64.8,57.0,6.12,6.07,3.95,3180
5866,1.01,3,3,2,63.0,59.0,6.38,6.32,4.0,3923
17141,1.0,1,4,4,61.1,61.0,6.38,6.45,3.92,6841
33483,0.32,3,4,4,61.1,58.0,4.42,4.39,2.69,828
16359,0.3,3,2,4,61.1,61.0,4.32,4.29,2.63,608
46436,0.6,3,5,3,59.4,60.0,5.57,5.51,3.29,1771
40703,0.4,4,5,6,62.1,56.0,4.7,4.73,2.93,1158
39044,0.41,3,3,6,62.2,58.0,4.82,4.76,2.98,1056
14007,1.14,3,2,4,61.3,59.0,6.76,6.72,4.13,5700
1194,0.75,4,4,4,62.3,57.0,5.81,5.87,3.64,2933
33584,0.41,2,5,4,62.7,58.0,4.68,4.73,2.95,833
10658,1.18,4,1,2,62.2,57.0,6.73,6.76,4.2,4838
6571,1.12,3,2,2,61.0,56.0,6.68,6.65,4.07,4077
7750,1.02,4,1,4,60.8,57.0,6.42,6.5,3.93,4281
29466,0.32,4,5,4,62.0,55.0,4.36,4.38,2.71,702
30743,0.43,3,4,3,61.7,58.0,4.82,4.84,2.98,739
478,0.75,4,5,3,62.0,57.0,5.8,5.78,3.59,2821
17324,1.22,4,2,4,61.4,57.0,6.89,6.85,4.22,6947
8639,1.06,3,1,3,61.9,59.0,6.52,6.5,4.03,4452
46786,0.5,2,5,5,59.0,60.0,5.19,5.22,3.07,1806
3869,1.13,3,2,1,62.7,59.0,6.58,6.63,4.14,3480
4711,0.31,3,6,3,60.9,60.0,4.38,4.39,2.67,571
12033,0.34,3,3,4,61.8,58.0,4.47,4.5,2.77,596
48764,1.01,3,1,1,59.2,57.0,6.58,6.44,3.85,2017
37902,0.41,4,4,5,61.3,55.0,4.79,4.83,2.95,1007
7523,1.01,3,2,2,59.9,59.0,6.51,6.48,3.89,4242
7989,1.16,3,0,3,62.2,58.0,6.75,6.68,4.18,4326
45193,0.51,4,3,5,61.9,56.0,5.1,5.14,3.17,1656
2161,0.74,4,3,3,60.6,55.0,5.87,5.93,3.57,3130
7265,0.91,4,1,4,61.9,56.0,6.18,6.22,3.84,4199
4062,0.31,3,6,3,62.0,58.0,4.3,4.35,2.68,571
6648,0.9,2,5,3,63.1,61.0,6.18,6.14,3.89,4092
10950,1.06,2,2,3,60.2,59.0,6.6,6.55,3.96,4900
25694,0.36,4,4,3,59.7,57.0,4.69,4.72,2.81,644
38941,0.31,2,2,4,62.2,59.0,4.34,4.38,2.71,489
6749,0.33,4,2,5,61.5,56.0,4.44,4.47,2.74,579
48492,0.54,4,3,6,61.9,57.0,5.22,5.25,3.24,1981
8037,0.9,3,5,3,63.0,59.0,6.13,6.1,3.85,4334
11587,1.0,0,4,3,61.3,62.0,6.45,6.37,3.93,5040
34239,0.4,3,6,2,62.2,58.0,4.75,4.71,2.94,855
268,0.76,3,2,6,59.6,57.0,5.91,5.86,3.51,2792
10232,1.01,3,2,4,62.6,60.0,6.39,6.36,3.99,4745
50178,0.7,1,6,2,63.1,60.0,5.56,5.62,3.53,2221
16415,1.23,4,6,3,60.9,54.0,7.01,6.96,4.25,6557
29976,0.35,4,1,8,61.1,56.0,4.56,4.6,2.8,715
7994,0.92,2,6,2,61.6,58.0,6.19,6.22,3.82,4327
37651,0.48,1,0,3,64.4,58.0,4.87,4.92,3.15,991
12899,0.9,4,5,3,61.9,54.0,6.19,6.22,3.84,5373
49448,0.51,4,3,7,61.0,57.0,5.17,5.16,3.15,2111
45211,0.51,3,5,4,62.5,59.0,5.06,5.11,3.18,1656
3611,0.9,4,3,2,62.7,55.0,6.11,6.17,3.85,3428
49401,0.6,3,3,6,59.7,60.0,5.55,5.5,3.3,2105
29302,0.3,4,1,4,62.1,54.0,4.32,4.35,2.69,438
29585,0.43,4,0,5,61.9,55.5,4.81,4.84,2.99,706
16973,1.07,3,3,4,61.9,58.0,6.54,6.55,4.05,6779
34237,0.4,3,6,2,60.4,59.0,4.83,4.8,2.91,855
12714,0.26,4,5,6,62.0,56.0,4.1,4.13,2.55,599
52276,0.62,4,5,5,60.3,57.0,5.52,5.57,3.35,2492
53734,0.77,3,5,2,61.3,55.0,5.9,5.85,3.6,2723
15829,1.22,2,3,3,62.1,58.0,6.84,6.89,4.26,6334
