carat,cut,color,clarity,depth percentage,table,length,width,depth,price
0.37,4,4,3,61.6,56.0,4.61,4.65,2.85,746
0.43,3,5,1,58.4,62.0,5.0,4.94,2.9,713
0.77,4,6,5,62.2,55.0,5.85,5.88,3.65,4039
1.02,2,4,3,59.8,58.0,6.49,6.55,3.9,5500
0.41,4,5,6,61.0,56.0,4.82,4.79,2.93,1243
0.31,4,6,3,61.0,57.0,4.41,4.38,2.68,732
0.31,3,2,6,61.4,58.0,4.32,4.35,2.66,625
0.41,3,3,5,62.6,58.0,4.75,4.7,2.96,961
0.41,4,6,6,62.5,57.0,4.75,4.72,2.96,1181
0.31,4,3,8,62.7,57.0,4.34,4.31,2.71,988
1.02,3,3,4,62.7,58.0,6.4,6.45,4.03,6058
0.41,4,5,4,62.1,57.0,4.79,4.74,2.96,999
0.53,2,5,3,59.7,59.0,5.27,5.29,3.15,1415
1.03,3,3,2,63.0,60.0,6.39,6.35,4.01,3824
0.33,4,6,5,61.1,57.0,4.46,4.48,2.73,727
1.0,3,3,2,62.2,59.0,6.39,6.35,3.96,4480
0.75,3,4,3,61.1,59.0,5.86,5.79,3.56,2744
0.37,3,4,4,60.6,58.0,4.63,4.67,2.82,746
1.01,2,4,4,63.1,58.0,6.4,6.35,4.02,6787
0.5,2,6,3,61.0,61.0,5.08,5.11,3.11,1436
0.59,1,4,3,59.1,58.0,5.46,5.5,3.24,1361
0.93,3,0,4,61.1,59.0,6.34,6.32,3.87,3125
0.26,4,4,8,61.6,56.0,4.07,4.11,2.52,657
0.54,4,3,4,61.7,56.0,5.21,5.24,3.23,1605
0.39,4,4,8,61.9,57.0,4.68,4.69,2.9,1368
1.01,3,4,4,59.3,62.0,6.48,6.44,3.83,6533
0.62,1,4,6,59.9,62.0,5.51,5.53,3.3,2131
0.58,4,5,4,61.8,57.0,5.32,5.36,3.3,1903
0.71,4,6,2,61.6,56.0,5.78,5.82,3.57,2690
1.02,0,3,3,64.5,56.0,6.3,6.23,4.04,4044
0.41,4,6,3,61.9,55.0,4.77,4.8,2.96,744
0.72,3,4,4,62.1,57.0,5.73,5.71,3.55,2724
0.6,4,5,2,62.5,57.0,5.37,5.39,3.36,1385
0.26,3,5,4,60.4,58.0,4.19,4.15,2.52,580
0.32,4,2,3,60.6,57.0,4.44,4.4,2.68,576
0.75,1,5,4,59.7,65.0,5.85,5.8,3.48,2717
0.5,4,5,3,61.6,55.0,5.09,5.13,3.15,1410
0.37,4,3,8,61.2,56.0,4.65,4.67,2.85,1056
1.0,0,3,3,65.2,62.0,6.19,6.08,4.01,3965
0.33,4,4,6,62.4,56.0,4.43,4.41,2.76,1067
0.7,4,4,3,62.3,56.0,5.68,5.72,3.55,2515
0.42,4,3,6,62.4,55.0,4.79,4.82,3.0,1031
0.75,4,2,3,62.9,57.0,5.75,5.8,3.63,2523
0.51,2,3,6,63.1,58.0,5.11,5.07,3.21,1974
0.31,4,3,7,62.5,55.0,4.33,4.34,2.71,816
1.2,3,2,5,61.3,58.0,6.85,6.81,4.19,6626
0.34,3,6,2,60.6,60.0,4.48,4.53,2.73,507
0.72,4,4,3,61.7,59.0,5.75,5.79,3.56,2706
1.0,0,2,4,64.8,55.0,6.35,6.28,4.09,3819
0.31,0,4,7,63.1,61.0,4.32,4.37,2.74,740
0.41,3,3,4,59.2,58.0,4.83,4.8,2.85,1061
0.36,4,2,3,62.3,57.0,4.54,4.58,2.84,505
1.04,4,3,2,60.7,57.0,6.61,6.51,3.98,4455
1.0,1,5,5,60.0,65.0,6.48,6.43,3.87,7190
1.34,4,0,2,62.0,56.0,7.09,7.03,4.38,5358
1.52,1,0,3,63.6,60.0,7.25,7.21,4.6,7022
1.02,1,2,2,60.3,63.0,6.45,6.49,3.9,4517
1.07,2,3,2,58.5,61.0,6.59,6.71,3.89,4201
0.51,2,4,3,62.5,59.0,5.08,5.1,3.18,1203
0.73,4,5,3,62.2,56.0,5.76,5.79,3.59,3038
1.03,2,6,4,63.3,57.0,6.39,6.44,4.06,7102
0.32,3,2,7,61.4,58.0,4.37,4.42,2.7,730
1.22,2,2,3,62.4,57.0,6.78,6.82,4.24,6323
0.75,4,5,5,61.8,55.0,5.85,5.87,3.62,3086
0.52,4,3,3,60.4,57.0,5.23,5.27,3.17,1354
0.35,4,2,4,61.7,56.0,4.55,4.59,2.82,571
0.91,2,3,4,64.0,56.6,6.09,6.15,3.92,4105
0.43,4,5,4,62.1,56.0,4.83,4.87,3.01,981
0.41,4,5,3,62.9,57.0,4.76,4.72,2.98,969
0.4,4,2,4,61.4,55.0,4.76,4.78,2.93,725
0.47,0,5,4,56.3,64.0,5.19,5.14,2.91,1075
0.73,4,3,7,61.6,56.0,5.76,5.79,3.56,3913
0.35,3,6,4,62.0,58.0,4.54,4.56,2.82,829
1.01,3,3,5,62.6,59.0,6.43,6.38,4.01,6618
0.9,4,3,7,62.8,56.0,6.12,6.18,3.86,5978
0.7,4,6,5,62.8,53.4,5.64,5.68,3.55,3618
0.31,4,4,7,60.4,59.0,4.35,4.43,2.65,779
0.41,4,5,5,61.4,57.0,4.82,4.79,2.95,1153
0.7,4,6,6,61.1,55.0,5.75,5.78,3.52,5539
1.02,2,0,2,63.1,58.0,6.38,6.34,4.01,3359
0.6,2,3,3,61.1,57.0,5.36,5.47,3.31,1554
0.86,3,5,3,61.9,61.0,6.07,5.99,3.73,3323
1.02,0,1,2,64.5,56.0,6.28,6.25,4.04,3084
0.41,4,3,4,60.9,56.0,4.82,4.84,2.94,949
0.65,4,2,5,61.8,55.0,5.6,5.56,3.45,2106
1.01,2,2,3,61.9,57.0,6.36,6.41,3.95,4432
0.5,0,3,6,62.9,67.0,5.02,4.96,3.14,1791
1.02,2,5,1,60.6,63.0,6.46,6.52,3.93,3141
0.34,2,3,6,61.4,59.0,4.47,4.52,2.76,775
0.36,4,2,5,61.5,55.0,4.59,4.62,2.83,651
0.3,4,4,5,61.6,54.7,4.33,4.34,2.67,652
0.54,4,4,7,61.6,55.0,5.28,5.27,3.25,2977
0.61,4,6,3,62.0,55.0,5.44,5.47,3.38,1927
1.0,2,5,2,61.2,58.0,6.37,6.41,3.91,4777
0.72,4,2,6,62.3,56.0,5.74,5.81,3.6,2752
0.71,1,2,3,57.9,62.0,5.82,5.86,3.38,2354
0.53,4,4,6,62.0,57.0,5.17,5.2,3.21,2177
1.01,1,3,2,61.1,62.0,6.38,6.48,3.93,3948
0.7,3,6,5,62.5,60.0,5.62,5.67,3.53,3471
0.53,1,3,6,64.3,58.0,5.11,5.15,3.3,1769
0.87,4,6,2,61.4,54.0,6.15,6.2,3.79,4012
0.55,4,3,7,61.5,55.0,5.28,5.26,3.24,2473
1.05,2,3,4,62.8,57.0,6.45,6.49,4.06,6486
0.9,4,3,3,62.2,56.0,6.2,6.14,3.84,3931
0.42,4,3,5,61.8,57.0,4.82,4.79,2.97,984
0.32,3,5,7,60.5,58.0,4.47,4.42,2.69,1020
0.25,3,5,4,59.7,61.0,4.1,4.08,2.44,525
0.55,3,4,5,61.0,59.0,5.26,5.29,3.22,1755
1.14,3,3,3,62.3,59.0,6.69,6.66,4.16,5650
1.01,2,3,1,62.4,59.0,6.35,6.41,3.98,3288
0.35,3,2,7,60.6,60.0,4.51,4.57,2.75,798
0.58,4,3,5,61.5,55.0,5.36,5.41,3.31,1911
0.32,2,3,8,62.1,53.0,4.4,4.45,2.75,918
0.39,3,5,2,63.0,61.0,4.65,4.62,2.92,834
0.79,2,6,2,59.7,58.0,6.0,6.07,3.6,2878
0.32,4,4,5,61.3,56.0,4.4,4.44,2.71,702
0.56,0,4,4,57.0,67.0,5.49,5.36,3.09,1814
1.03,2,2,2,62.8,59.0,6.4,6.43,4.03,4283
0.71,4,1,3,61.3,56.0,5.72,5.75,3.52,2660
0.32,1,6,1,64.0,54.0,4.33,4.36,2.78,361
0.25,4,5,6,61.6,57.0,4.08,4.1,2.52,576
1.04,4,1,4,61.5,57.0,6.49,6.52,4.0,5105
1.01,4,3,4,61.0,56.0,6.46,6.49,3.95,6855
0.3,2,6,3,60.6,60.0,4.3,4.32,2.61,552
0.38,4,5,5,62.7,55.0,4.65,4.6,2.9,1069
0.9,4,2,6,62.0,57.0,6.15,6.2,3.83,4924
0.7,1,5,5,59.8,62.0,5.74,5.8,3.45,2973
1.01,1,2,4,64.3,58.0,6.27,6.2,4.01,4489
0.3,3,2,3,62.9,58.0,4.24,4.22,2.66,540
0.57,3,5,5,61.6,58.0,5.36,5.33,3.29,2753
0.41,1,2,4,64.1,57.0,4.72,4.64,3.0,917
0.52,2,4,4,60.7,59.0,5.14,5.18,3.13,1600
0.3,4,6,4,61.8,55.0,4.34,4.3,2.67,911
0.38,4,6,5,62.4,54.1,4.62,4.67,2.9,1092
1.13,3,2,2,62.3,59.0,6.68,6.65,4.15,4294
0.41,4,0,5,61.3,57.0,4.81,4.84,2.96,648
0.57,3,1,5,61.6,58.0,5.33,5.28,3.27,1212
0.35,4,3,4,61.0,57.0,4.54,4.57,2.78,633
0.82,1,0,3,57.5,62.0,6.2,6.25,3.58,2033
0.41,4,3,7,62.0,56.0,4.8,4.78,2.97,1230
0.72,4,3,3,61.9,54.0,5.78,5.81,3.59,2548
0.31,4,4,8,61.8,54.0,4.33,4.37,2.69,979
1.01,4,6,3,61.2,57.0,6.47,6.44,3.95,5543
1.0,2,5,4,64.0,59.0,6.22,6.31,4.01,6285
0.31,4,5,4,62.0,55.0,4.35,4.33,2.69,872
0.42,4,2,3,60.9,56.0,4.89,4.86,2.97,760
0.39,4,3,3,61.0,55.0,4.75,4.82,2.92,675
1.2,4,3,3,62.2,58.0,6.77,6.84,4.23,6741
1.0,1,3,5,63.7,60.0,6.38,6.31,4.04,4805
0.33,4,6,4,61.8,56.0,4.45,4.48,2.76,781
0.77,1,6,4,64.3,56.0,5.84,5.77,3.73,3428
1.3,3,2,3,62.9,60.0,6.95,6.88,4.35,5671
0.76,2,2,4,58.7,61.0,5.96,5.99,3.51,2599
1.03,4,3,5,61.4,55.0,6.5,6.53,4.0,7481
0.5,4,4,2,61.6,57.0,5.14,5.08,3.15,1016
0.25,1,6,6,57.5,61.0,4.16,4.19,2.4,548
0.34,4,5,5,62.0,56.0,4.48,4.52,2.79,805
1.04,2,3,7,58.2,60.0,6.66,6.71,3.89,6766
1.0,0,3,3,68.3,61.0,6.02,5.93,4.08,3965
0.34,4,2,4,62.2,56.0,4.48,4.53,2.8,537
0.32,3,2,5,61.7,58.0,4.38,4.44,2.72,561
0.55,4,4,2,62.3,57.0,5.22,5.27,3.27,1175
1.2,2,2,2,58.8,61.0,6.94,6.98,4.09,5211
0.58,4,3,3,61.5,56.0,5.35,5.38,3.3,1690
0.78,4,2,6,62.1,56.0,5.88,5.9,3.66,3581
0.56,4,2,8,61.3,55.0,5.31,5.33,3.26,2157
0.52,4,2,2,61.5,56.0,5.17,5.21,3.19,1035
0.53,4,6,7,62.5,54.0,5.16,5.21,3.24,2905
1.66,4,4,1,62.1,58.0,7.6,7.56,4.71,6135
0.32,4,3,7,60.2,56.0,4.45,4.49,2.69,842
0.7,2,3,3,62.1,56.0,5.64,5.67,3.51,2175
1.0,4,4,3,61.9,56.0,6.41,6.36,3.95,5292
0.77,4,6,4,61.1,57.0,5.93,5.96,3.63,3837
0.37,4,4,3,62.4,54.0,4.63,4.6,2.88,791
0.7,2,4,3,61.3,58.0,5.7,5.72,3.5,2312
0.72,1,1,4,63.3,59.0,5.62,5.66,3.57,2068
1.2,2,1,4,62.3,56.0,6.76,6.81,4.23,5955
0.3,4,5,6,62.3,56.0,4.3,4.34,2.69,766
0.42,4,5,3,62.1,55.0,4.81,4.79,2.98,953
0.77,2,0,3,62.3,58.0,5.86,5.89,3.66,1807
1.03,2,3,4,58.8,63.0,6.7,6.61,3.91,6806
0.39,0,5,3,65.6,60.0,4.5,4.56,2.97,601
1.11,2,1,2,61.2,61.0,6.65,6.69,4.08,3956
1.33,0,5,2,65.0,57.0,6.93,6.89,4.49,4916
0.72,2,5,3,62.0,57.0,5.73,5.76,3.56,2562
0.33,3,3,5,62.3,58.0,4.45,4.41,2.76,854
0.35,2,3,7,61.8,57.0,4.5,4.53,2.79,859
1.02,3,3,3,63.0,55.0,6.45,6.4,4.05,4718
0.9,4,6,3,62.5,57.0,6.12,6.2,3.85,4579
0.7,4,3,5,61.9,55.0,5.67,5.71,3.52,3384
0.54,4,3,5,60.7,57.0,5.29,5.26,3.2,2274
0.34,4,3,4,62.1,57.0,4.5,4.46,2.78,765
1.53,3,0,3,60.1,59.0,7.52,7.5,4.51,6126
0.31,4,4,4,60.8,57.0,4.38,4.41,2.67,583
0.5,4,4,6,62.0,55.0,5.1,5.12,3.17,2052
1.0,0,2,2,67.8,53.0,6.08,6.02,4.1,2530
0.31,4,6,5,62.1,57.0,4.35,4.32,2.69,877
0.3,3,6,3,62.4,60.0,4.23,4.26,2.65,552
1.0,0,4,3,62.6,59.0,6.25,6.3,3.93,4925
0.53,4,5,4,61.5,56.0,5.18,5.23,3.2,1676
0.91,0,2,3,64.8,57.0,6.12,6.07,3.95,3180
1.01,3,3,2,63.0,59.0,6.38,6.32,4.0,3923
1.0,1,4,4,61.1,61.0,6.38,6.45,3.92,6841
0.32,3,4,4,61.1,58.0,4.42,4.39,2.69,828
0.3,3,2,4,61.1,61.0,4.32,4.29,2.63,608
0.6,3,5,3,59.4,60.0,5.57,5.51,3.29,1771
0.4,4,5,6,62.1,56.0,4.7,4.73,2.93,1158
0.41,3,3,6,62.2,58.0,4.82,4.76,2.98,1056
1.14,3,2,4,61.3,59.0,6.76,6.72,4.13,5700
0.75,4,4,4,62.3,57.0,5.81,5.87,3.64,2933
0.41,2,5,4,62.7,58.0,4.68,4.73,2.95,833
1.18,4,1,2,62.2,57.0,6.73,6.76,4.2,4838
1.12,3,2,2,61.0,56.0,6.68,6.65,4.07,4077
1.02,4,1,4,60.8,57.0,6.42,6.5,3.93,4281
0.32,4,5,4,62.0,55.0,4.36,4.38,2.71,702
0.43,3,4,3,61.7,58.0,4.82,4.84,2.98,739
0.75,4,5,3,62.0,57.0,5.8,5.78,3.59,2821
1.22,4,2,4,61.4,57.0,6.89,6.85,4.22,6947
1.06,3,1,3,61.9,59.0,6.52,6.5,4.03,4452
0.5,2,5,5,59.0,60.0,5.19,5.22,3.07,1806
1.13,3,2,1,62.7,59.0,6.58,6.63,4.14,3480
0.31,3,6,3,60.9,60.0,4.38,4.39,2.67,571
0.34,3,3,4,61.8,58.0,4.47,4.5,2.77,596
1.01,3,1,1,59.2,57.0,6.58,6.44,3.85,2017
0.41,4,4,5,61.3,55.0,4.79,4.83,2.95,1007
1.01,3,2,2,59.9,59.0,6.51,6.48,3.89,4242
1.16,3,0,3,62.2,58.0,6.75,6.68,4.18,4326
0.51,4,3,5,61.9,56.0,5.1,5.14,3.17,1656
0.74,4,3,3,60.6,55.0,5.87,5.93,3.57,3130
0.91,4,1,4,61.9,56.0,6.18,6.22,3.84,4199
0.31,3,6,3,62.0,58.0,4.3,4.35,2.68,571
0.9,2,5,3,63.1,61.0,6.18,6.14,3.89,4092
1.06,2,2,3,60.2,59.0,6.6,6.55,3.96,4900
0.36,4,4,3,59.7,57.0,4.69,4.72,2.81,644
0.31,2,2,4,62.2,59.0,4.34,4.38,2.71,489
0.33,4,2,5,61.5,56.0,4.44,4.47,2.74,579
0.54,4,3,6,61.9,57.0,5.22,5.25,3.24,1981
0.9,3,5,3,63.0,59.0,6.13,6.1,3.85,4334
1.0,0,4,3,61.3,62.0,6.45,6.37,3.93,5040
0.4,3,6,2,62.2,58.0,4.75,4.71,2.94,855
0.76,3,2,6,59.6,57.0,5.91,5.86,3.51,2792
1.01,3,2,4,62.6,60.0,6.39,6.36,3.99,4745
0.7,1,6,2,63.1,60.0,5.56,5.62,3.53,2221
1.23,4,6,3,60.9,54.0,7.01,6.96,4.25,6557
0.35,4,1,8,61.1,56.0,4.56,4.6,2.8,715
0.92,2,6,2,61.6,58.0,6.19,6.22,3.82,4327
0.48,1,0,3,64.4,58.0,4.87,4.92,3.15,991
0.9,4,5,3,61.9,54.0,6.19,6.22,3.84,5373
0.51,4,3,7,61.0,57.0,5.17,5.16,3.15,2111
0.51,3,5,4,62.5,59.0,5.06,5.11,3.18,1656
0.9,4,3,2,62.7,55.0,6.11,6.17,3.85,3428
0.6,3,3,6,59.7,60.0,5.55,5.5,3.3,2105
0.3,4,1,4,62.1,54.0,4.32,4.35,2.69,438
0.43,4,0,5,61.9,55.5,4.81,4.84,2.99,706
1.07,3,3,4,61.9,58.0,6.54,6.55,4.05,6779
0.4,3,6,2,60.4,59.0,4.83,4.8,2.91,855
0.26,4,5,6,62.0,56.0,4.1,4.13,2.55,599
0.62,4,5,5,60.3,57.0,5.52,5.57,3.35,2492
0.77,3,5,2,61.3,55.0,5.9,5.85,3.6,2723
1.22,2,3,3,62.1,58.0,6.84,6.89,4.26,6334
1.0,3,2,2,59.8,61.0,6.24,6.17,3.71,3360
0.9,1,3,3,57.7,62.0,6.29,6.23,3.61,3226
0.9,1,0,2,63.9,56.0,6.1,6.17,3.92,2693
0.92,3,3,2,62.3,59.0,6.15,6.2,3.85,3377
0.54,4,5,3,60.5,57.0,5.3,5.28,3.2,1637
0.32,3,3,3,62.6,58.0,4.35,4.31,2.71,612
0.35,4,4,4,62.1,57.0,4.55,4.53,2.82,906
0.52,3,3,3,58.6,62.0,5.28,5.24,3.08,1092
0.56,4,3,4,61.7,56.0,5.3,5.34,3.28,1580
0.31,4,3,7,60.8,56.0,4.39,4.36,2.66,1046
0.91,4,1,2,61.6,57.0,6.24,6.23,3.84,2981
0.3,4,0,6,62.1,56.0,4.31,4.32,2.68,439
0.7,2,4,3,62.3,57.0,5.62,5.65,3.51,2267
0.5,2,3,6,60.0,56.0,5.18,5.21,3.12,2260
0.7,2,4,3,60.0,58.0,5.75,5.79,3.46,2553
0.31,3,6,3,60.2,56.0,4.4,4.37,2.64,732
0.31,4,1,5,61.3,55.6,4.37,4.4,2.69,513
0.33,3,1,5,61.6,60.0,4.45,4.42,2.73,668
0.4,4,3,4,61.1,56.0,4.74,4.78,2.91,1240
0.73,3,4,3,62.4,55.0,5.78,5.71,3.59,2346
0.41,4,4,6,62.6,55.0,4.76,4.73,2.97,1192
0.71,0,3,2,65.6,56.0,5.54,5.49,3.63,1691
0.5,4,5,3,60.8,57.0,5.09,5.14,3.11,1410
1.24,4,2,2,62.0,56.0,6.9,6.87,4.27,5902
0.91,3,2,2,62.1,56.0,6.24,6.15,3.85,3498
0.31,4,3,4,62.2,54.0,4.34,4.38,2.71,562
0.94,2,5,2,62.0,60.0,6.19,6.22,3.85,3963
0.41,1,6,3,63.8,56.0,4.68,4.72,3.0,738
0.7,4,4,4,60.8,59.0,5.69,5.79,3.49,2850
0.43,4,4,8,60.9,57.0,4.89,4.86,2.97,1580
0.92,2,1,3,63.3,58.0,6.18,6.14,3.9,3323
0.4,2,2,5,61.3,59.0,4.79,4.74,2.92,818
0.52,3,3,6,61.2,59.0,5.16,5.14,3.15,2012
0.3,4,3,5,61.7,54.6,4.3,4.33,2.67,618
0.31,4,3,8,61.0,56.0,4.39,4.37,2.67,988
0.62,3,4,2,61.7,60.0,5.48,5.45,3.37,1329
